review,label
"배송이 빠르고 품질도 좋아요. 정말 만족합니다.",긍정
"최악이에요. 불량품이고 환불받고 싶습니다.",부정
"가성비 훌륭하고 디자인도 예뻐서 추천해요.",긍정
"느리고 불친절한 응대에 실망했어요.",부정
"포장이 깔끔하고 사이즈도 딱 맞아 마음에 들어요.",긍정
"기대했는데 별로네요. 환불이 답입니다.",부정
"친절한 안내와 빠른 배송에 너무 만족합니다.",긍정
"고장이 자주 나고 AS도 형편없어요.",부정
"재구매 의사 100%! 가족들에게도 선물할 거예요.",긍정
"색상이 사진과 너무 달라서 실망. 다시는 안 살래요.",부정
"퀄리티 좋고 사용하기 편해서 매일 쓰고 있어요.",긍정
"무게도 무겁고 작동도 어색해요. 별로입니다.",부정
"가격 대비 성능 최고. 강력 추천합니다.",긍정
"한 번 쓰고 부서졌어요. 정말 형편없네요.",부정
"매장 직원분이 정말 친절하셨어요. 또 방문할게요.",긍정
"오배송에 응대도 늦고 최악의 경험이었습니다.",부정
"신상품인데도 가격이 합리적이고 만족도가 높아요.",긍정
"기능이 광고와 다르고 화면도 어둡습니다. 실망.",부정
"감동입니다. 이 가격에 이 품질이라니!",긍정
"하루 만에 환불 요청했어요. 정말 별로예요.",부정
"색감이 화려하고 손에 잡히는 그립감이 좋아요.",긍정
"배송도 느리고 박스도 찌그러져 왔어요. 짜증나요.",부정
"실용적이고 튼튼해서 오래 쓸 것 같아요. 만족.",긍정
"사이즈가 맞지 않아 교환했는데 응대가 불친절했어요.",부정
"퀵 배송으로 다음날 도착! 빠른 배송 감사합니다.",긍정
"제품 설명과 실제가 너무 달라요. 사기당한 기분.",부정
"디자인이 모던하고 사용감이 부드러워요. 추천.",긍정
"한 달 만에 고장. AS센터 연결도 안 됩니다.",부정
"포장도 정성스럽고 카드까지 동봉되어 있어요. 감동.",긍정
"기대보다 너무 작고 마감이 거칠어요. 비추.",부정
"가성비 최고에 만족도도 최상. 다음에 또 살게요.",긍정
"화면 멈춤 현상 자주 발생. 사용 불가 수준.",부정
"향이 은은하고 오래 가서 가족 모두 좋아해요.",긍정
"맛이 너무 짜고 양도 적어요. 별로네요.",부정
"앱과 연동이 매끄럽고 설치도 쉬워서 만족.",긍정
"매뉴얼이 부실하고 한국어 지원도 별로예요.",부정
"식감이 부드럽고 신선해서 자주 주문해요.",긍정
"배달이 너무 늦어 식어버렸어요. 다시는 안 시킵니다.",부정
"품질 대비 가격이 너무 좋아요. 강력 추천!",긍정
"이런 제품을 정상가에 팔다니… 환불 요청했습니다.",부정
